,Open,High,Low,Close,Volume
30/05/2025 13:45,56,58,56,54,3564
30/05/2025 14:00,52,54,52,56,3506
30/05/2025 14:15,56,58,54,58,2005
30/05/2025 14:30,58,58,52,58,77522
30/05/2025 14:45,58,60,58,62,3139
30/05/2025 15:00,62,62,66,60,2945
03/06/2025 09:15,46,62,56,56,9988
03/06/2025 09:30,56,56,54,52,3842
03/06/2025 09:45,52,50,48,50,1953
03/06/2025 10:00,50,50,50,50,2320
03/06/2025 10:15,48,50,52,52,1840
03/06/2025 10:45,50,50,50,48,4564
03/06/2025 11:00,50,50,48,48,1988
03/06/2025 11:15,50,50,48,50,4796
03/06/2025 11:30,50,54,50,52,2889
03/06/2025 13:45,50,48,52,48,3302
03/06/2025 14:00,48,50,52,52,3811
03/06/2025 14:15,52,56,54,54,2560
03/06/2025 14:30,54,54,54,54,2020
03/06/2025 14:45,54,56,52,52,4366
03/06/2025 15:00,52,54,52,46,4898
03/06/2025 21:15,24,42,52,52,7313
03/06/2025 21:30,50,56,50,56,2370
03/06/2025 21:45,56,54,52,54,2437
03/06/2025 22:00,54,52,52,54,1551
03/06/2025 22:15,52,54,54,52,1801
03/06/2025 22:30,52,52,50,52,593
03/06/2025 22:45,52,52,50,52,719
03/06/2025 23:00,52,50,52,52,1128
04/06/2025 09:15,52,54,52,54,3114
04/06/2025 09:30,54,56,58,56,2277
04/06/2025 09:45,54,58,56,56,1199
04/06/2025 10:00,56,56,60,64,-5780
04/06/2025 10:15,66,62,64,60,-7959
04/06/2025 10:45,60,60,62,62,38017
04/06/2025 11:00,64,64,60,62,1242
04/06/2025 11:15,62,64,60,60,2605
04/06/2025 11:30,58,66,58,66,1903
04/06/2025 13:45,66,62,64,62,3223
04/06/2025 14:00,62,64,62,64,1531
04/06/2025 14:15,66,64,62,66,3102
04/06/2025 14:30,66,66,66,64,3028
04/06/2025 14:45,64,68,66,62,3826
04/06/2025 15:00,62,64,58,58,3528
04/06/2025 21:15,62,58,58,60,5241
04/06/2025 21:30,60,62,64,60,1910
04/06/2025 21:45,60,60,58,60,1074
04/06/2025 22:00,60,58,56,58,695
04/06/2025 22:15,58,60,56,56,867
04/06/2025 22:30,56,58,56,56,518
04/06/2025 22:45,56,58,56,58,1221
04/06/2025 23:00,58,54,52,58,1262
05/06/2025 09:15,58,56,50,48,4309
05/06/2025 09:30,48,52,52,54,964
05/06/2025 09:45,52,52,50,52,1688
05/06/2025 10:00,54,54,54,56,17478
05/06/2025 10:15,56,56,52,54,28816
05/06/2025 10:45,54,58,54,54,1257
05/06/2025 11:00,54,56,52,52,1985
05/06/2025 11:15,52,54,52,54,33655
05/06/2025 11:30,54,54,50,54,1621
05/06/2025 13:45,56,52,50,52,4009
05/06/2025 14:00,54,58,50,58,1983
05/06/2025 14:15,58,54,56,56,45280
05/06/2025 14:30,56,56,54,54,1309
05/06/2025 14:45,54,54,54,54,1144
05/06/2025 15:00,56,52,54,58,52702
05/06/2025 21:15,52,52,46,52,8304
05/06/2025 21:30,50,56,48,52,5513
05/06/2025 21:45,50,56,52,52,3595
05/06/2025 22:00,52,52,50,52,2258
05/06/2025 22:15,52,52,50,52,945
05/06/2025 22:30,52,54,52,50,1220
05/06/2025 22:45,50,54,52,54,1009
05/06/2025 23:00,54,54,54,54,2434
06/06/2025 09:15,52,58,50,56,6399
06/06/2025 09:30,58,58,54,56,1854
06/06/2025 09:45,54,52,52,52,790
06/06/2025 10:00,52,54,48,54,1384
06/06/2025 10:15,52,56,52,50,1879
06/06/2025 10:45,50,54,50,50,5265
06/06/2025 11:00,52,52,54,54,1679
06/06/2025 11:15,54,54,54,52,786
06/06/2025 11:30,52,50,50,52,3143
06/06/2025 13:45,52,52,48,50,5254
06/06/2025 14:00,50,52,52,50,1356
06/06/2025 14:15,48,50,48,46,2952
06/06/2025 14:30,46,54,50,52,2130
06/06/2025 14:45,52,52,50,50,1087
06/06/2025 15:00,50,52,56,58,1935
06/06/2025 21:15,58,54,52,54,8317
06/06/2025 21:30,56,56,56,58,1690
06/06/2025 21:45,58,58,54,56,1983
06/06/2025 22:00,56,56,54,54,676
06/06/2025 22:15,56,54,52,52,1181
06/06/2025 22:30,52,54,52,54,1355
06/06/2025 22:45,54,54,54,52,474
06/06/2025 23:00,54,54,56,58,1065
09/06/2025 09:15,62,52,58,50,6706
09/06/2025 09:30,50,50,48,52,1386
09/06/2025 09:45,52,54,48,50,30731
09/06/2025 10:00,50,50,50,50,1976
09/06/2025 10:15,50,52,50,48,3035
09/06/2025 10:45,50,50,48,50,1678
09/06/2025 11:00,52,54,50,54,1243
09/06/2025 11:15,54,58,54,56,3223
09/06/2025 11:30,58,60,58,64,3608
09/06/2025 13:45,48,60,52,60,9415
09/06/2025 14:00,60,60,60,62,6812
09/06/2025 14:15,62,60,62,60,4626
09/06/2025 14:30,60,62,64,60,2815
09/06/2025 14:45,60,62,60,62,3526
09/06/2025 15:00,62,62,60,62,3913
09/06/2025 21:15,50,58,62,62,6641
09/06/2025 21:30,62,62,62,62,3064
09/06/2025 21:45,62,62,60,62,1618
09/06/2025 22:00,62,62,62,66,931
09/06/2025 22:15,66,68,66,70,774
09/06/2025 22:30,70,66,68,68,305
09/06/2025 22:45,68,66,66,68,304
09/06/2025 23:00,68,68,66,64,747
10/06/2025 09:15,66,70,66,70,2344
10/06/2025 09:30,70,68,66,68,955
10/06/2025 09:45,68,70,66,68,1143
10/06/2025 10:00,68,68,68,68,1681
10/06/2025 10:15,68,68,66,68,1124
10/06/2025 10:45,68,68,66,66,2698
10/06/2025 11:00,66,68,68,68,1206
10/06/2025 11:15,68,70,66,68,1018
10/06/2025 11:30,68,68,66,62,1317
10/06/2025 13:45,66,66,62,64,5046
10/06/2025 14:00,64,64,64,64,1673
10/06/2025 14:15,66,64,64,66,1377
10/06/2025 14:30,64,62,64,64,1115
10/06/2025 14:45,64,66,62,62,48498
10/06/2025 15:00,62,68,66,70,1549
10/06/2025 21:15,62,60,56,66,11288
